"Level","PartnerType","DisplayNameEn","DisplayNameVi","OfficialWebsite","ExportedFile","SourceFile"
"Lv 1","Government Primary","Emblem of Vietnam","Quốc huy Việt Nam","https://chinhphu.vn/","lv1-government-primary/lv1-01-emblem-of-vietnam.svg","public/figma-homepage/agency-logos/emblems/emblem-of-vietnam.svg"
"Lv 1","Government Primary","Office of the Ho Chi Minh City People's Committee","Văn phòng UBND TP.HCM","https://vpub.hochiminhcity.gov.vn/","lv1-government-primary/lv1-02-office-of-hcmc-peoples-committee.png","public/figma-homepage/agency-logos/emblems/van-phong-ubnd-hih.png"
"Lv 2","Agency / Department","Office of the Ho Chi Minh City People's Committee","Văn phòng UBND TP.HCM","https://vpub.hochiminhcity.gov.vn/","lv2-agency-department/lv2-01-office-of-hcmc-peoples-committee.png","public/figma-homepage/agency-logos/emblems/van-phong-ubnd-hih.png"
"Lv 2","Agency / Department","Department of Industry and Trade","Sở Công Thương","https://congthuong.hochiminhcity.gov.vn/","lv2-agency-department/lv2-02-department-of-industry-and-trade.png","public/figma-homepage/agency-logos/emblems/so-cong-thuong.png"
"Lv 2","Agency / Department","Ho Chi Minh City Inspectorate","Thanh tra TP.HCM","https://www.thanhtra.hochiminhcity.gov.vn/","lv2-agency-department/lv2-03-ho-chi-minh-city-inspectorate.png","public/figma-homepage/agency-logos/emblems/thanh-tra-tphcm.png"
"Lv 2","Agency / Department","Department of Education and Training","Sở Giáo dục và Đào tạo","https://hcm.edu.vn/","lv2-agency-department/lv2-04-department-of-education-and-training.png","public/figma-homepage/agency-logos/emblems/so-giao-duc-dao-tao.png"
"Lv 2","Agency / Department","Department of Agriculture and Environment","Sở Nông nghiệp và Môi trường","https://sonnmt.hochiminhcity.gov.vn/","",""
"Lv 2","Agency / Department","Department of Ethnic and Religious Affairs","Sở Dân tộc và Tôn giáo","https://hochiminhcity.gov.vn/chinhquyen","",""
"Lv 2","Agency / Department","Department of Justice","Sở Tư pháp","https://sotuphap.hochiminhcity.gov.vn/","lv2-agency-department/lv2-07-department-of-justice.png","public/figma-homepage/agency-logos/emblems/so-tu-phap.png"
"Lv 2","Agency / Department","Department of Science and Technology","Sở Khoa học và Công nghệ","https://dost.hochiminhcity.gov.vn/","lv2-agency-department/lv2-08-department-of-science-and-technology.png","public/figma-homepage/agency-logos/emblems/so-khcn.png"
"Lv 2","Agency / Department","Department of Finance","Sở Tài chính","http://tcvg.hochiminhcity.gov.vn/pages/default.aspx","lv2-agency-department/lv2-09-department-of-finance.png","public/figma-homepage/agency-logos/emblems/so-tai-chinh.png"
"Lv 2","Agency / Department","Department of Tourism","Sở Du lịch","https://sodulich.hochiminhcity.gov.vn/","lv2-agency-department/lv2-10-department-of-tourism.png","public/figma-homepage/agency-logos/emblems/so-du-lich.png"
"Lv 2","Agency / Department","Department of Culture and Sports","Sở Văn hóa và Thể thao","https://svhtt.hochiminhcity.gov.vn/","lv2-agency-department/lv2-11-department-of-culture-and-sports.png","public/figma-homepage/agency-logos/emblems/so-van-hoa-the-thao.png"
"Lv 2","Agency / Department","Department of Health","Sở Y tế","https://medinet.hochiminhcity.gov.vn/","lv2-agency-department/lv2-12-department-of-health.png","public/figma-homepage/agency-logos/emblems/so-y-te.png"
